Office Name	Contest Run By District Name and Number	Candidate Ballot Last Name and Suffix	Candidate First Name and Middle Name	Office Political Party	Candidate Status	Public Phone	Email	Website	Facebook	Twitter	Other
President of the United States	State Of Maryland	Biden	Joe	Democratic	Active		press@joebiden.com	www.joebiden.com		@JoeBiden	
President of the United States	State Of Maryland	Phillips	Dean	Democratic	Active	844	hello@dean24.com	dean24.com	https://www.facebook.com/deanphillips2024/	twitter.com/deanbphillips	instagram.com/deanphillips2024/
President of the United States	State Of Maryland	Williamson	Marianne	Democratic	Active			www.marianne2024.com	facebook.com/williamsonmarianne/	twitter.com/marwilliamson	instagram.com/mariannewilliamson/
President of the United States	State Of Maryland	Haley	Nikki R.	Republican	Active		info@nikkihaley.com	www.nikkihaley.com			
President of the United States	State Of Maryland	Trump	Donald J.	Republican	Active		info@donaldtrump.com	www.donaldjtrump.com	facebook.com/DonaldTrump	twitter.com/realdonaldtrump	instagram.com/realdonaldtrump
U.S. Senator	State Of Maryland	Alsobrooks	Angela	Democratic	Active		info@angelaalsobrooks.com	www.angelaalsobrooks.com	facebook.com/teamalsobrooks	twitter.com/@alsobrooksformd	instagram.com/@alsobrooksformd
U.S. Senator	State Of Maryland	"Cobb, Sr."	Michael W.	Democratic	Active	(443) 690-0989	cobbroof@gmail.com				tiktok@mikecobb355
U.S. Senator	State Of Maryland	Crews	Marcellus	Democratic	Active	(301) 325-8898	admin@marcelluscrews.com	www.MarcellusCrews.com	facebook.com/Crews2me	@crews2me	instagram.com/crewsmarcellus/
U.S. Senator	State Of Maryland	Frydenborg	Brian E.	Democratic	Active	(240) 621-2820	bf@brian4md.com	https//brian4md.com		@bfry1981	LinkedIn:Brian Frydenborg
U.S. Senator	State Of Maryland	Griffin	Scottie J.	Democratic	Active	(703) 963-1783	drgrifn@aol.com				
U.S. Senator	State Of Maryland	Houton	Robert K.	Democratic	Active		rob@voterobhouton.com				
U.S. Senator	State Of Maryland	Perez	Joseph	Democratic	Active		perezforussenate@gmail.com	www.gojoeperez.com		twitter.com/@perez4ussenate	instagram.com/perez4ussenate
U.S. Senator	State Of Maryland	Seuferer	Steven Henry	Democratic	Active	(301) 966-7218	stevesforcongress@gmail.com		facebook.com/SteveSForCongress	@stevesforcongress	
U.S. Senator	State Of Maryland	Trone	David J.	Democratic	Active	(301) 392-7926	info@davidtrone.com	www.davidtrone.com	facebook.com/davidjtrone	@davidjtrone	
U.S. Senator	State Of Maryland	Wildman	Andrew Jaye	Democratic	Active	(410) 443-9608	ajayewildman@gmail.com	https://wildmanforussenate.com/hot-topics		@cs2news	CS2News Podcast
U.S. Senator	State Of Maryland	Barakat	Moe H.	Republican	Active		info@moebarakat.com	www.Barakatforsenate.com	facebook.com/MBarakatDC	twitter.com/@MBarakatDC	
U.S. Senator	State Of Maryland	Chaffee	Chris	Republican	Active	(410) 474-5629	chrischaffeeforussenate@gmail.com	www.chaffeeforussenate.com			
U.S. Senator	State Of Maryland	Ficker	Robin	Republican	Active	(301) 919-9068	robinficker@msn.com	www.voteficker.com	facebook.com/RobinForUSSenate	twitter.com/@Robin_Ficker	
U.S. Senator	State Of Maryland	Friend	Lorie R.	Republican	Active	(240) 321-3477	electafriend@gmail.com	www.friendinthesenate.com	facebook.com/Lorie R. Friend	@LorieFriendGOP	
U.S. Senator	State Of Maryland	Hogan	Larry	Republican	Active	(410) 205-9062	info@larryhogan.com	www.LarryHogan.com	facebook.com/govLarryHogan	twitter.com/govLarryHogan	instagram:@LarryHogan
U.S. Senator	State Of Maryland	Myrick	John A.	Republican	Active	(301) 751-5651	johnamyrickforsenate@gmail.com	www.johnmyrickforsenate.org	facebook.com/john.myrick.for.senate/	@JohnMyrickforMD	instagram.com/https://instagram.com/JohnMyrickforSenate/
U.S. Senator	State Of Maryland	Seyoum	Laban Y.A	Republican	Active						
U.S. Senator	State Of Maryland	Scott	Mike	Libertarian	Active	(240) 437-2272	mikescottonewordallcaps@gmail.com	www.lifeinallcaps.com		twitter.com/@mikescott1word	linkedin.com/michaelscottag47
U.S. Senator	State Of Maryland	Wallace	Nancy	Other Candidates	Seeking the Nomination	(240) 644-2952	nancy@nancywallace.us				
U.S. Senator	State Of Maryland	Osuchukwu	Emmanuel O.	Unaffiliated	Declaration of Intent		Termlimit.net@gmail.com	www.Termlimit.net		@Termlimit59650	
U.S. Senator	State Of Maryland	Dominguez	Juan	Democratic	Withdrawn - 01/03/2024	(301) 200-1231	juan@juanformaryland.com	www.juanformaryland.com	facebook.com/juanformaryland	@juanformaryland	instagram.com/@juanformaryland
U.S. Senator	State Of Maryland	Bly	Ray	Republican	Withdrawn - 01/31/2024	(410) 799-3516	raybly@verizon.net	www.raybly.com	facebook.com/Raybly	@raybly	www.youtube.com/raybly
U.S. Senator	State Of Maryland	Teichert	John	Republican	Withdrawn - 02/20/2024	(410) 357-1621	john@teichertformaryland.com	www.teichertformaryland.com	facebook.com/johnformaryland	@JohnforMaryland	instagram.com/JohnforMaryland
U.S. Senator	State Of Maryland	Thormann	John	Republican	Withdrawn - 02/05/2024		thormann4maryland@gmail.com	www.thormann4maryland.com			
U.S. Senator	State Of Maryland	Landman	Moshe Y.	Green	Withdrawn - 11/20/2023	(443) 525-0478	MosheGreenParty@gmail.com	www.moshelandman.us	facebook.com/mosheylandman	@moshelandman	
Representative in Congress	Congressional District 1	"Miller, III"	Blane H.	Democratic	Active	(443) 687-4339	bhmiller4congress@gmail.com	miller4maryland.com	www.Facebook.com/Blane Miller	@Miller4Maryland	IG:miller4maryland
Representative in Congress	Congressional District 1	Oluwadare	Blessing T.	Democratic	Active	(443) 519-8375	motiyato@gmail.com		facebook.com/obtemitayo1		linkedin.com/In/blessing-Oluwadare-107616234
Representative in Congress	Congressional District 1	"Bruneau, Sr."	Chris	Republican	Active	(443) 865-2637	chris@cbforcongress.com	cbforcongress.com	www.facebok.comcbforcongress	@cbforcongtess24	
Representative in Congress	Congressional District 1	Harris	Andy	Republican	Active	(443) 693-7244	info@andyharris.com	www.andyharris.com	Facebook.com/Andy Harris	@Harris4Congress	Instagram.com/harrisforcongress
Representative in Congress	Congressional District 1	Lemon	Michael Scott	Republican	Active	(410) 610-4678	michael@lemon4u.org	www.lemon4u.org			
Representative in Congress	Congressional District 1	Oluwadare	Blessing T.	Republican	Withdrawn - 07/25/2023	(443) 519-8375	motiyato@gmail.com		facebook.com/obtemitayo1		linkedin.com/In/blessing-Oluwadare-107616234
